epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1730.02,1.51,1.03608,1.09228,0.53433,0.2684,0.40977,0.21507,1.59091,1.01181,1.08921,0.0670076,0.000333257,0.000333257
2,3286.66,1.47413,0.96857,1.08139,0.53565,0.33539,0.45027,0.25816,1.41183,0.85136,1.0298,0.0340073,0.000666333,0.000666333
3,4805.41,1.43109,0.91537,1.06202,0.57826,0.35991,0.48697,0.28635,1.35024,0.79209,1.01043,0.00100602,0.000998382,0.000998382
4,6322.94,1.39426,0.87356,1.04545,0.57592,0.37733,0.49552,0.29979,1.3121,0.75343,0.99471,0.000996534,0.000996534,0.000996534
5,7834.58,1.36679,0.84412,1.03431,0.59215,0.39484,0.5135,0.31263,1.29351,0.73035,0.98752,0.000993844,0.000993844,0.000993844
6,9326.5,1.34902,0.82383,1.02626,0.57938,0.41886,0.52364,0.31895,1.28126,0.71515,0.98211,0.000990393,0.000990393,0.000990393
7,10810.4,1.33538,0.81124,1.02054,0.579,0.43156,0.53126,0.32532,1.26939,0.7022,0.97824,0.000986185,0.000986185,0.000986185
8,12296.5,1.32437,0.79913,1.01534,0.57842,0.43824,0.53483,0.33076,1.25756,0.694,0.97348,0.000981228,0.000981228,0.000981228
9,13785.7,1.31229,0.78777,1.00927,0.5781,0.44845,0.54169,0.33626,1.2474,0.68469,0.96969,0.000975529,0.000975529,0.000975529
10,15283.7,1.30608,0.77998,1.00741,0.58015,0.4557,0.54642,0.33866,1.24141,0.67824,0.96718,0.000969096,0.000969096,0.000969096
11,16764.5,1.29963,0.77206,1.00404,0.58822,0.45623,0.55085,0.34224,1.23869,0.67291,0.96584,0.00096194,0.00096194,0.00096194
12,18259.7,1.29238,0.76575,1.00119,0.59042,0.45897,0.55366,0.34513,1.23619,0.66948,0.96458,0.000954072,0.000954072,0.000954072
13,19743.8,1.2881,0.76153,0.99894,0.59408,0.46105,0.55661,0.34684,1.23282,0.66643,0.96333,0.000945504,0.000945504,0.000945504
14,21235.3,1.28254,0.75453,0.99622,0.59507,0.46343,0.558,0.34832,1.22989,0.66376,0.96218,0.000936249,0.000936249,0.000936249
15,22727,1.27957,0.752,0.99479,0.59582,0.46357,0.55878,0.34943,1.22802,0.66165,0.96155,0.000926321,0.000926321,0.000926321
